<bost>_library none n/a n/a 
▁I @ScrPart_customer_library @ScrPart_customer_library True 
▁went #ScrEv_get_library_library #ScrEv_get_library_library True 
▁to none n/a n/a 
▁the none n/a n/a 
▁library @ScrPart_library_library @ScrPart_library_library True 
▁the none n/a n/a 
▁other none n/a n/a 
▁day @irregularP_library @irregularP_library True 
▁ none n/a n/a 
- none n/a n/a 
L none n/a n/a 
RB none n/a n/a 
- none n/a n/a 
▁on none n/a n/a 
▁Saturday @irregularP_library @irregularP_library True 
▁ none n/a n/a 
- none n/a n/a 
R none n/a n/a 
RB none n/a n/a 
- none n/a n/a 
▁to none n/a n/a 
▁borrow #ScrEv_take_book_library #Evoking_library False 
▁a none n/a n/a 
▁book @ScrPart_book_library @ScrPart_book_library True 
▁ none n/a n/a 
. none n/a n/a 
▁In none n/a n/a 
▁the none n/a n/a 
▁process @irregularP_library @irregularP_library True 
▁ none n/a n/a 
, none n/a n/a 
▁I @ScrPart_customer_library @ScrPart_customer_library True 
▁stepped #irregular_library #ScrEv_get_library_library False 
▁into none n/a n/a 
▁the none n/a n/a 
▁library @ScrPart_library_library @ScrPart_library_library True 
▁and none n/a n/a 
▁headed #ScrEv_get_shelf_library #ScrEv_get_shelf_library True 
▁straight none n/a n/a 
▁to none n/a n/a 
▁the none n/a n/a 
▁section @ScrPart_location_library_library @ScrPart_location_library_library True 
▁of none n/a n/a 
▁the none n/a n/a 
▁book @ScrPart_book_library @ScrPart_book_library True 
▁I @ScrPart_customer_library @ScrPart_customer_library True 
▁wanted #irregular_library #irregular_library True 
▁to none n/a n/a 
▁borrow #ScrEv_take_book_library #Evoking_library False 
▁ none n/a n/a 
. none n/a n/a 
▁I @ScrPart_customer_library @ScrPart_customer_library True 
▁plan #irregular_library #irregular_library True 
▁ahead none n/a n/a 
▁of none n/a n/a 
▁time @irregularP_library @irregularP_library True 
▁where none n/a n/a 
▁the none n/a n/a 
▁book @ScrPart_book_library @ScrPart_book_library True 
▁may none n/a n/a 
▁be #irregular_library #irregular_library True 
▁as none n/a n/a 
▁I @ScrPart_customer_library @ScrPart_customer_library True 
▁know #irregular_library #irregular_library True 
▁borrowing #ScrEv_take_book_library #Evoking_library False 
▁books @ScrPart_book_library @ScrPart_book_library True 
▁at none n/a n/a 
▁my @ScrPart_customer_library @ScrPart_customer_library True 
▁particular none n/a n/a 
▁library @ScrPart_library_library @ScrPart_library_library True 
